,start_time,end_time,station_start_name,start_lat,start_long,station_end_name,end_lat,end_long,user_type,time_travel,miles,time_travel_seconds
48536,2022-08-14 17:06:53,2022-08-14 17:13:37,4 St & Grand St,40.7422579775645,-74.03511106967926,Madison St & 10 St,40.74994325412246,-74.03586477041245,casual,404,0.5317775048420983,404
92047,2022-08-10 13:09:15,2022-08-10 13:17:40,McGinley Square,40.7253399253558,-74.06762212514877,McGinley Square,40.7253399253558,-74.06762212514877,casual,505,0.0,505
113631,2022-08-02 13:45:01,2022-08-02 13:50:03,City Hall - Washington St & 1 St,40.73736,-74.03097,Marshall St & 2 St,40.740802,-74.042521,casual,302,0.6511150937096392,302
1539,2017-01-05 08:31:22,2017-01-05 08:46:47,Marin Light Rail,40.71458403535893,-74.04281705617905,McGinley Square,40.7253399253558,-74.06762212514877,member,925,1.4989059271422227,925
8190,2017-08-08 17:15:08,2017-08-08 17:42:56,Sip Ave,40.73074262530658,-74.06378388404846,5 Corners Library,40.73496102000952,-74.0595030784607,member,1668,0.36771822085480865,1668
4570,2022-04-30 13:06:34,2022-04-30 13:35:04,McGinley Square,40.7253399253558,-74.06762212514877,McGinley Square,40.7253399253558,-74.06762212514877,casual,1710,0.0,1710
15648,2022-04-21 14:59:51,2022-04-21 15:05:00,Madison St & 1 St,40.73879,-74.0393,Hoboken Terminal - Hudson St & Hudson Pl,40.73593758446329,-74.03030455112457,member,309,0.5115197908992116,309
41524,2022-08-21 11:52:58,2022-08-21 12:05:16,Southwest Park - Jackson St & Observer Hwy,40.73755127245804,-74.04166370630264,Grove St PATH,40.71958611647166,-74.04311746358871,casual,738,1.2419862889245565,738
25938,2022-08-04 21:06:39,2022-08-04 21:12:32,Southwest Park - Jackson St & Observer Hwy,40.73755127245804,-74.04166370630264,Madison St & 10 St,40.74994325412246,-74.03586477041245,member,353,0.9076233409517435,353
89278,2022-08-21 21:34:09,2022-08-21 22:04:20,14 St Ferry - 14 St & Shipyard Ln,40.75296063046496,-74.02435272932053,14 St Ferry - 14 St & Shipyard Ln,40.75296063046496,-74.02435272932053,casual,1811,0.0,1811
22087,2022-08-24 18:13:05,2022-08-24 18:23:10,Washington St,40.7242941,-74.0354826,Madison St & 1 St,40.73879,-74.0393,casual,605,1.0201261954757042,605
43477,2022-12-21 19:08:05,2022-12-21 19:13:34,11 St & Washington St,40.74998490907138,-74.02715027332306,6 St & Grand St,40.7443978330956,-74.03450086712837,casual,329,0.5453707661402563,329
11886,2022-04-21 07:46:01,2022-04-21 07:49:30,Jersey & 6th St,40.72528910781132,-74.04557168483734,Manila & 1st,40.72165072487999,-74.04288411140442,member,209,0.28798605434274777,209
3281,2022-04-23 17:21:00,2022-04-23 17:27:28,Oakland Ave,40.7376037,-74.0524783,5 Corners Library,40.73496102000952,-74.0595030784607,member,388,0.4113378526702848,388
7862,2017-12-12 16:58:11,2017-12-12 17:02:02,Grove St PATH,40.71958611647166,-74.04311746358871,Jersey & 6th St,40.72528910781132,-74.04557168483734,member,231,0.41407490170009986,231
45928,2022-08-03 18:02:34,2022-08-03 18:09:56,Paulus Hook,40.7141454,-74.0335519,Jersey & 3rd,40.72333158646436,-74.04595255851744,member,442,0.908651507531988,442
18157,2022-08-22 15:58:11,2022-08-22 16:05:04,7 St & Monroe St,40.74641264837719,-74.03797701001167,Hoboken Terminal - Hudson St & Hudson Pl,40.73593758446329,-74.03030455112457,member,413,0.8274033772054911,413
